
5149,9,5,9,14,20,22,11,12,19,18,27,55,25,15,20,30,11,24,9,11,19,29,14,14,24,29,34,7,11,49,10,26,11,17,8,12,3,2,20,16,13,29,31,31,15,4,9,20,13,4,14,7,20,4,5,2,3,10,16,7,6,31,14,21,5,10,7,2,3,12,6,9,21,22,6,3,17,6,8,14,6,3,30,29,19,43,40,27,16,7,18,13,11,18,6,10,3,8,27,25,6,18,8,10,6,7,8,4,3,15,12,13,3,6,11,9,2,10,4,8,7,4,19,11,4,37,13,28,0,4,5,14,8,5,8,3,9,11,16,6,5,10,7,10,5,6,8,15,12,8,14,9,4,3,4,12,4,7,6,8,7,5,7,10,15,7,11,23,25,12,10,14,1,4,2,3,3,7,9,11,9,2,3,17,3,4,4,5,5,12,2,3,8,5,6,10,1,5,5,5,4,1,2,7,8,2,3,2,1,5,4,6,9,10,3,4,3,5,3,2,2,5,5,5,5,8,11,5,10,10,11,2,6,4,4,4,5,2,4,2,3,4,2,3,1,1,6,10,8,15,5,10,3,37
5149,17,8,14,14,8,17,8,19,8,16,49,28,21,33,15,17,14,19,12,10,23,22,43,18,15,4,7,11,22,38,23,32,8,14,22,38,24,25,9,14,2,11,10,19,27,14,17,6,18,7,4,3,18,9,14,6,8,9,6,6,13,23,17,33,5,22,7,8,11,16,4,19,9,4,10,4,13,11,6,11,6,16,18,10,8,13,8,9,14,36,22,6,9,16,17,10,2,3,3,9,8,7,9,3,5,4,7,4,6,6,10,9,4,13,2,10,9,7,3,5,6,6,12,6,14,36,3,27,7,9,1,8,5,8,2,7,5,8,11,7,10,7,3,1,4,3,4,9,11,6,5,7,2,11,10,9,3,8,6,3,2,7,15,14,3,7,4,6,6,9,8,7,4,12,8,3,5,8,5,5,8,4,8,3,6,8,5,5,6,11,6,14,6,2,4,3,3,3,4,6,7,4,7,8,1,5,5,8,1,5,6,9,2,3,2,6,9,0,2,1,6,4,1,4,5,5,5,6,8,11,11,2,6,5,7,6,4,1,6,7,3,6,3,2,5,7,5,8,4,14,2,13,5,42
5137,17,12,21,22,23,25,22,14,48,41,116,194,54,13,34,51,48,47,24,40,76,70,63,27,25,42,32,38,69,58,16,38,27,9,33,29,47,9,12,15,19,21,17,13,34,24,5,17,8,9,11,10,18,13,15,10,11,13,13,6,12,26,9,39,7,3,6,10,24,17,16,8,8,6,16,4,12,10,3,21,11,6,19,15,7,37,59,32,10,25,17,16,15,12,23,14,7,14,35,10,15,11,2,4,4,8,14,10,14,19,11,17,17,8,14,12,6,3,7,9,2,7,6,7,22,39,5,17,18,17,7,2,8,2,5,17,8,18,15,12,4,10,13,14,3,13,20,15,9,5,7,8,4,15,14,11,3,18,9,5,8,16,9,9,13,14,22,21,14,19,10,16,5,8,2,11,9,6,6,7,1,6,14,7,7,6,12,7,9,12,3,4,14,4,3,3,3,7,8,5,5,4,4,4,5,9,2,1,9,6,13,5,6,4,6,5,11,5,10,6,6,9,10,4,8,7,6,12,2,10,9,11,9,5,4,7,10,5,3,9,5,16,8,8,11,10,3,5,4,6,2,1,7,42
5139,15,7,19,14,6,3,21,3,16,11,102,155,75,47,76,48,39,30,30,57,75,3,40,15,21,26,32,13,36,14,27,35,36,23,26,62,39,19,20,4,20,6,11,15,9,10,27,16,12,8,9,3,6,8,4,14,9,3,12,11,7,31,9,16,4,15,5,15,12,4,8,9,8,17,9,21,13,8,9,16,10,10,11,10,11,5,5,4,14,6,6,1,8,6,17,17,17,17,24,9,9,6,5,16,10,1,3,8,7,2,4,9,12,5,1,8,12,16,11,7,6,1,3,5,3,30,12,38,4,4,11,4,6,9,4,4,17,5,9,8,7,9,7,15,5,4,10,2,7,3,6,6,6,6,7,9,11,8,5,16,5,3,6,9,6,6,5,7,3,8,4,8,11,4,4,9,11,5,9,5,7,5,5,1,6,4,4,3,6,7,4,10,3,5,0,1,12,4,4,4,3,9,5,7,3,3,2,4,3,6,0,7,6,3,4,13,4,4,7,2,8,6,12,8,6,3,5,6,1,9,4,6,8,6,1,11,4,7,4,9,5,4,7,3,7,3,12,8,3,4,4,5,1,44
5146,11,6,12,21,27,24,27,13,40,49,88,86,20,19,11,18,12,28,29,52,62,40,31,21,27,26,4,19,15,17,22,20,8,14,22,39,24,14,22,9,24,10,10,20,18,7,18,5,4,8,13,4,2,7,7,15,9,10,10,5,12,21,8,15,3,17,2,4,12,7,11,24,34,29,8,17,14,13,2,7,16,6,11,15,27,29,17,11,3,9,19,35,50,29,7,25,2,12,23,22,17,21,16,12,5,12,22,12,6,22,22,17,20,10,1,17,4,6,4,7,2,2,19,8,9,32,12,20,6,11,6,13,5,2,7,7,17,14,5,5,16,25,32,18,7,20,29,9,5,7,13,7,6,8,23,9,4,9,12,17,30,18,7,5,5,7,12,15,18,4,6,2,6,7,13,9,8,1,2,11,10,3,5,11,3,4,1,10,13,12,7,6,5,7,5,9,6,4,6,3,6,6,5,8,3,6,4,6,5,8,6,4,5,2,4,3,9,4,4,9,7,0,1,8,8,6,1,5,2,2,3,4,5,9,3,10,1,9,4,5,8,7,8,5,5,7,12,7,5,9,3,7,11,46
5159,8,12,15,5,10,11,5,8,22,28,111,80,28,34,40,43,64,45,23,39,33,29,92,64,54,29,6,10,13,30,17,14,17,7,15,14,10,10,16,13,7,13,5,8,12,15,8,5,5,4,7,4,7,9,19,3,8,4,17,1,15,21,14,16,11,6,12,11,11,15,3,10,12,9,7,8,9,16,33,29,32,19,21,30,28,21,12,15,20,22,6,6,8,11,6,8,21,11,21,12,17,12,32,11,8,14,5,9,9,14,7,10,3,6,13,11,13,9,10,8,6,6,7,10,5,28,8,29,8,1,2,17,7,4,9,7,10,10,19,7,3,8,5,11,3,13,2,10,5,14,13,13,10,8,8,7,15,19,3,12,7,8,3,10,17,13,13,15,14,16,15,18,16,13,8,4,2,6,4,7,5,8,5,2,2,10,7,10,6,13,4,11,5,5,4,5,3,4,2,7,7,1,3,5,7,2,7,6,3,3,1,3,6,3,3,8,4,3,2,2,5,15,10,4,2,0,5,3,5,8,12,3,5,4,8,5,3,5,2,6,2,3,8,12,11,13,5,7,4,12,6,13,1,36
5164,16,18,11,8,15,18,24,17,44,11,58,70,7,42,32,30,24,12,24,53,35,32,50,54,5,14,23,19,5,21,15,30,20,8,12,16,33,15,20,17,9,12,5,6,16,6,11,5,4,10,5,5,9,8,4,1,5,11,11,9,6,19,15,16,13,10,9,8,12,12,19,4,8,5,8,6,4,18,6,6,12,12,4,5,14,6,13,3,10,12,13,14,17,20,10,10,11,12,5,10,14,7,13,3,16,14,9,5,9,16,7,4,8,3,9,1,10,2,21,8,8,3,5,7,8,28,6,32,2,5,10,4,10,13,9,9,3,4,2,10,4,5,3,14,5,9,8,13,18,8,11,8,9,5,6,13,6,5,11,8,1,5,7,6,7,3,4,6,10,11,9,2,8,3,5,4,2,3,7,6,6,8,7,12,2,1,6,3,4,15,1,12,5,7,6,4,2,2,5,6,3,1,4,2,4,2,4,6,1,5,6,5,4,3,3,3,5,8,8,2,2,2,2,6,1,7,5,6,4,7,6,6,6,8,5,6,4,7,5,9,4,10,5,8,5,4,5,2,5,10,7,9,8,42
5154,12,12,19,14,10,22,15,11,29,50,60,20,13,28,20,15,8,6,12,30,23,59,60,23,21,15,12,22,14,25,32,48,3,17,12,23,4,7,6,3,18,19,13,8,18,7,15,13,9,6,11,6,13,8,9,6,4,5,12,7,11,29,5,31,6,11,14,6,7,5,10,3,11,8,13,6,17,8,5,7,11,3,15,8,6,8,17,19,5,8,11,9,11,13,2,12,9,4,2,7,15,9,5,17,16,1,9,8,3,4,4,4,5,11,14,12,3,16,5,8,5,6,8,2,10,28,5,37,6,6,6,6,6,12,8,7,1,9,14,13,8,8,4,1,7,8,7,12,11,14,6,3,7,7,6,6,5,12,4,8,3,5,10,4,4,9,8,8,4,3,8,6,0,3,3,7,1,15,2,5,3,9,5,11,7,5,5,3,3,10,5,11,4,1,5,4,5,11,7,5,0,3,4,9,8,1,3,7,2,2,2,7,8,7,4,8,2,5,6,4,11,3,4,7,3,8,5,6,4,6,6,8,1,5,1,2,6,3,3,12,5,6,2,3,0,4,4,4,4,11,1,7,7,42
5165,6,5,22,10,18,34,27,7,31,40,61,12,14,53,45,41,23,31,20,18,43,18,13,27,33,36,14,21,27,17,11,7,28,15,18,12,9,11,7,4,12,7,15,4,12,2,4,15,23,7,4,11,9,6,8,4,4,9,14,4,17,33,8,26,7,3,11,6,5,3,4,17,16,0,6,5,20,8,4,3,9,4,9,4,16,20,10,8,9,8,3,5,7,16,12,9,11,3,1,4,5,10,6,6,11,3,3,3,5,13,11,15,5,1,3,4,1,8,8,0,6,5,7,4,11,29,6,33,8,10,3,6,9,7,6,5,5,9,7,4,6,10,3,6,3,3,3,9,12,8,6,2,4,3,17,9,2,15,3,19,2,8,5,3,6,8,6,10,9,1,1,4,3,2,3,1,9,10,3,7,7,3,5,3,5,9,3,2,7,7,5,16,3,1,9,4,7,5,8,4,8,10,8,6,4,5,6,6,3,4,3,5,7,1,5,7,4,3,7,6,4,9,5,7,4,5,7,10,7,6,8,2,2,6,5,5,2,9,7,4,2,2,4,3,7,3,8,4,3,7,5,3,6,39
5147,18,7,4,17,9,19,10,17,4,8,12,29,47,42,22,10,12,25,12,21,8,23,28,28,7,12,11,21,35,27,18,15,35,13,7,27,4,23,22,17,10,14,12,11,5,16,5,6,3,7,6,9,14,11,13,13,7,10,13,3,12,17,9,20,9,13,16,5,6,10,11,3,4,13,2,10,12,5,8,5,12,24,9,12,15,5,9,2,6,6,7,15,8,9,14,5,2,16,6,9,14,5,5,7,17,7,17,6,11,8,5,8,3,8,4,14,10,7,13,4,2,6,15,3,2,32,3,31,5,2,12,14,10,7,11,9,8,4,5,4,6,5,7,4,2,2,7,6,4,4,1,5,8,7,9,4,4,10,5,15,8,8,6,1,4,1,5,9,3,1,6,8,6,1,9,9,6,8,1,2,9,4,2,7,1,6,7,3,7,12,3,12,5,7,6,6,10,9,3,2,4,5,5,1,6,6,1,5,3,3,5,8,7,6,3,1,7,8,5,7,6,4,4,4,4,1,3,5,6,9,6,3,5,4,5,3,4,6,2,6,1,3,2,2,6,6,3,3,5,12,10,14,4,42
